Time,Name,Color,Mean_gray,Gray
275,mrfp1,red,148.84666666666666,"[148.73, 146.87, 150.94]"
275,NNN157D,purple,124.47333333333334,"[115.93, 141.05, 163.78, 90.44, 117.53, 118.11]"
280,mrfp1,red,148.6233333333333,"[148.08, 146.94, 150.85]"
280,NNN157D,purple,124.35833333333332,"[116.36, 139.71, 163.96, 90.41, 117.38, 118.33]"
285,mrfp1,red,148.63333333333335,"[147.58, 146.71, 151.61]"
285,NNN157D,purple,124.10666666666668,"[115.66, 140.49, 163.57, 90.29, 116.73, 117.9]"
290,mrfp1,red,148.99,"[148.38, 147.22, 151.37]"
290,NNN157D,purple,124.36166666666666,"[116.19, 140.32, 164.16, 90.1, 117.38, 118.02]"
295,mrfp1,red,148.74333333333334,"[148.54, 146.31, 151.38]"
295,NNN157D,purple,124.44333333333331,"[116.21, 140.86, 163.74, 90.12, 117.72, 118.01]"
300,mrfp1,red,148.63,"[148.4, 146.33, 151.16]"
300,NNN157D,purple,124.73666666666666,"[116.76, 140.72, 164.13, 91.51, 117.63, 117.67]"
305,NNN157D,purple,124.38333333333333,"[115.98, 140.64, 164.44, 89.35, 117.54, 118.35]"
305,mrfp1,red,148.52666666666667,"[148.3, 146.17, 151.11]"
310,mrfp1,red,148.36,"[147.89, 146.54, 150.65]"
310,NNN157D,purple,124.52833333333332,"[116.59, 141.03, 163.81, 89.84, 117.63, 118.27]"
315,mrfp1,red,148.48,"[147.81, 146.74, 150.89]"
315,NNN157D,purple,124.77666666666669,"[116.04, 141.34, 164.97, 90.27, 117.59, 118.45]"
320,mrfp1,red,148.39,"[147.89, 146.27, 151.01]"
320,NNN157D,purple,124.72666666666665,"[116.2, 140.95, 164.38, 90.39, 117.67, 118.77]"
325,NNN157D,purple,124.44666666666669,"[115.74, 140.68, 164.1, 90.86, 116.82, 118.48]"
325,mrfp1,red,148.31333333333333,"[148.09, 146.42, 150.43]"
330,mrfp1,red,148.48333333333332,"[147.84, 146.23, 151.38]"
330,NNN157D,purple,124.57,"[116.25, 140.11, 164.44, 90.31, 117.56, 118.75]"
335,mrfp1,red,148.40666666666667,"[147.73, 146.23, 151.26]"
335,NNN157D,purple,124.67333333333336,"[116.48, 141.3, 164.41, 89.73, 117.25, 118.87]"
340,mrfp1,red,148.41666666666666,"[147.55, 146.7, 151.0]"
340,NNN157D,purple,124.58833333333332,"[116.23, 141.07, 164.0, 89.96, 117.09, 119.18]"
345,mrfp1,red,148.25,"[147.72, 145.95, 151.08]"
345,NNN157D,purple,124.385,"[116.25, 140.92, 163.72, 90.37, 116.97, 118.08]"
350,NNN157D,purple,124.55833333333334,"[116.01, 140.63, 163.96, 90.72, 117.67, 118.36]"
350,mrfp1,red,148.48333333333335,"[147.41, 146.8, 151.24]"
355,NNN157D,purple,124.985,"[117.7, 141.31, 164.34, 90.7, 117.31, 118.55]"
355,mrfp1,red,148.45666666666668,"[147.97, 146.37, 151.03]"
360,mrfp1,red,148.21333333333334,"[147.45, 146.19, 151.0]"
360,NNN157D,purple,124.49833333333332,"[116.35, 140.83, 163.89, 90.51, 117.28, 118.13]"
365,mrfp1,red,148.37,"[147.92, 146.17, 151.02]"
365,NNN157D,purple,124.95333333333332,"[117.1, 141.59, 164.51, 90.62, 117.2, 118.7]"
370,mrfp1,red,148.13000000000002,"[147.4, 145.81, 151.18]"
370,NNN157D,purple,124.695,"[116.44, 140.95, 164.12, 90.47, 117.46, 118.73]"
375,mrfp1,red,148.36666666666665,"[147.91, 146.14, 151.05]"
375,NNN157D,purple,124.64,"[116.21, 140.65, 164.28, 90.9, 116.69, 119.11]"
380,NNN157D,purple,124.75833333333334,"[116.34, 140.85, 164.46, 90.86, 117.19, 118.85]"
380,mrfp1,red,148.65666666666667,"[148.22, 146.48, 151.27]"
385,mrfp1,red,147.66333333333333,"[146.89, 145.75, 150.35]"
385,NNN157D,purple,124.495,"[116.41, 141.05, 164.31, 90.6, 116.86, 117.74]"
390,mrfp1,red,147.72666666666666,"[146.89, 145.67, 150.62]"
390,NNN157D,purple,124.73833333333334,"[116.67, 141.48, 164.11, 90.35, 116.98, 118.84]"
395,mrfp1,red,147.80999999999997,"[146.75, 146.14, 150.54]"
395,NNN157D,purple,124.39833333333335,"[116.7, 140.61, 164.0, 90.68, 116.58, 117.82]"
400,NNN157D,purple,124.56000000000002,"[116.88, 141.05, 164.55, 89.93, 116.63, 118.32]"
400,mrfp1,red,147.77666666666667,"[147.09, 145.47, 150.77]"
405,mrfp1,red,148.1266666666667,"[147.22, 146.29, 150.87]"
405,NNN157D,purple,124.50666666666667,"[116.3, 140.93, 164.31, 90.95, 116.96, 117.59]"
410,mrfp1,red,147.82666666666668,"[147.25, 145.59, 150.64]"
410,NNN157D,purple,124.35666666666668,"[116.56, 140.71, 164.45, 89.91, 116.45, 118.06]"
415,mrfp1,red,147.26333333333332,"[147.01, 145.17, 149.61]"
415,NNN157D,purple,124.565,"[116.86, 140.82, 163.78, 90.69, 116.27, 118.97]"
420,mrfp1,red,147.29666666666665,"[146.46, 145.2, 150.23]"
420,NNN157D,purple,124.59333333333332,"[117.08, 141.81, 164.36, 90.24, 116.38, 117.69]"
425,mrfp1,red,147.76333333333332,"[147.05, 145.76, 150.48]"
425,NNN157D,purple,124.66333333333334,"[116.43, 141.37, 164.82, 90.26, 116.6, 118.5]"
430,mrfp1,red,147.74,"[147.36, 145.58, 150.28]"
430,NNN157D,purple,124.32999999999998,"[116.55, 140.56, 164.31, 89.84, 116.82, 117.9]"
435,mrfp1,red,147.85000000000002,"[147.06, 146.03, 150.46]"
435,NNN157D,purple,124.46499999999996,"[117.4, 141.01, 164.03, 90.3, 116.01, 118.04]"
440,mrfp1,red,147.37,"[146.71, 145.52, 149.88]"
